id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj	proximal_genes	left	right
W_125711	3849.65044104435	6383.70880836468	48.5628900638544	0.00760731598537541	-7.03839675308911	0.0283637460824572	0.121358010977097	CCNA_02987,CCNA_02988,	3142750	3142775
W_58347	4800.78163219594	7747.84230998004	380.190615519788	0.0490705154169261	-4.34899976480147	0.0304644383960614	0.126313135476617	CCNA_01344,CCNA_01345,	1458650	1458675
CCNA_R0081	536254.379487528	869385.401084099	36557.8470926706	0.042050219669072	-4.57174285267949	0.0306478971345608	0.126705228753887	CCNA_R0081,	3830125	3830250
W_125712	2093.95994222907	3468.12033281844	32.7193563450126	0.00943431980585936	-6.72786577829243	0.0332416594900752	0.132407797307822	CCNA_02987,CCNA_02988,	3142775	3142800
W_154971	666.915312649412	1047.42877258428	96.1451227471176	0.0917915616447149	-3.44549465631952	0.0368949981649613	0.139644554953475	CCNA_03705,CCNA_R0089,	3874375	3874400
W_88620	1857.8794886666	2892.82187135499	305.465914634024	0.10559444314867	-3.24339417925154	0.0419474168495632	0.149658637139114	CCNA_02064,	2215475	2215500
W_46365	946.222368149979	1562.03677677832	22.5007552074705	0.0144047538073195	-6.11731118627066	0.0444691909427619	0.154330406526108	CCNA_01058,CCNA_01057,	1159100	1159125
W_97416	861.457004843031	1412.16001633955	35.4024875982505	0.0250697422307827	-5.31790902743946	0.0447927531960522	0.155019375461807	CCNA_02286,CCNA_02285,	2435375	2435400
W_38993	1185.21974318817	1904.69871977013	106.001278315225	0.0556525172275106	-4.16740924597183	0.0463019624245705	0.158022739634538	CCNA_00894,	974800	974825
W_38994	705.413860627007	1143.17727910104	48.7687329159573	0.0426606912221939	-4.550948848223	0.0492357253658894	0.163548395248837	CCNA_00894,	974825	974850
W_38516	1152.4927748317	1858.37663786788	93.666980277423	0.0504025816773542	-4.31035855768195	0.0511711664578107	0.167069925725538	CCNA_00882,CCNA_00883,	962875	962900
W_17187	1839.79776323033	3047.95732255088	27.5584242495039	0.00904160437077244	-6.7892054929521	0.0520747499501587	0.168623626197901	CCNA_00415,CCNA_00416,	429650	429675
W_58348	2657.36746906256	4237.72349883574	286.833424402791	0.0676857337392575	-3.88500440372207	0.0535898805516796	0.171464105849267	CCNA_01344,CCNA_01345,	1458675	1458700
W_67989	4446.71349083916	6883.75921174799	791.144909475899	0.114929195682166	-3.12118275978017	0.0560471685967065	0.176211189419304	CCNA_01583,CCNA_01584,CCNA_03954,	1699700	1699725
